"eext__Created_on__c","eext__Last_login__c","eext__License__c","eext__Permission_set_licenses__c","eext__Profile__c","eext__Status__c","eext__Time_zone__c","eext__User_organization__r.eext__ExternalId__c","eext__X1_day_activity__c","eext__X1_day_login_count__c","eext__X1_month_activity__c","eext__X1_month_login_count__c","eext__X1_quarter_login_count__c","eext__X1_week_activity__c","eext__X1_week_login_count__c","eext__X2_week_activity__c","eext__X2_weeks_login_count__c","eext__X3_day_activity__c","eext__X3_day_login_count__c"
"2023-08-24","2024-07-22","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","No activity","0","No activity","0","No activity","0"
"2022-04-20","2024-08-05","Salesforce","","Minimum Access - Salesforce - Form Areas","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","4","","Low activity","2","Low activity","3","Low activity","1"
"2024-08-05","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Medium activity","2","Low activity","2","","Low activity","2","Low activity","2","Low activity","2"
"2024-05-23","2024-05-23","Salesforce","","Consulta/Visualizacion Reclamos","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-11","2024-07-30","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","Low activity","1","Low activity","3","No activity","0"
"2023-08-15","2024-07-03","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-04-19","2022-04-19","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-27","2024-07-29","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","No activity","0","Low activity","1","No activity","0"
"2024-03-05","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","13","","Low activity","4","Medium activity","8","Low activity","1"
"2023-08-15","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","14","","Medium activity","6","Medium activity","7","Low activity","1"
