"Name","eext__ExternalId__c","eext__Bugfix_description__c","eext__Feature_description__c","eext__Package__r.eext__ExternalId__c","eext__Version_date__c","eext__Version_differences__c","eext__Version_Id__c","eext__Version_name__c","eext__Version_number__c"
"Product Form 1.31","a0r7Q000005MVdrQAG","","","a0q7Q000001KufaQAC","","- Features:
 	 Improved confirm modal so its salesforce like
 	 The allLoaded variable of the GBL_Opportunity_Products_cmp component has become global.
The GBL_ShowModal_evt event has also become global
 	 Inclusion of sections and components as ""Complex Section Item's"".
    Visibility control of number, percent, currency, multiselect and checkbox fields in complex sections.
    Visibility control of multiselect fields in simple sections
 	 Added regex validation pattern to Product Config items.
Added regex validation pattern to Complex Sections items.
Added Validation Pattern fields to permission set
- Bugfixes:
 	 Fixed problem of mixed data when clicking on different products rapidly.
Fixed lack of minimun, maximum and default values control for rows on complex item tables
 	 Increased height of product editing mode
 	 Duplicate fields in Mozilla. MAXMIX3-4513
    (Detected in Table Row records) In LIST type fields, if it is set as not editable, when generating the record, the label is shown correctly in the form but the value of the label is saved in the table row record and not the API value of the field. This causes that, when saving the data, all the records are shown blank.
    The fprd__Table_order_by__c field of Complex Section Item only works with text type field. If it is not text an error occurs when trying to apply a toLowerCase method to a data type other than String.
    Error when the component tries to update the fields fprd_GBL_Visible_configurationsc,fprdGBL_Empty_visible_fieldsc and fprdGBL_All_fields_informed_c on the products of the opportunity and you do not have edit permissions on them. MAXMIX3-4520
 	 Lookup type fields not opening.","","Estegosaurus","1.31"
"Message Bar 1.1","a0r7Q000005MVVRQA4","","Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)","a0q7Q000001KuhpQAC","","- Features:
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
- Bugfixes:
 	 Fixed error when the message value arrives later than the message bar rendering
 	 Fixed error when the message value arrives later than the message bar rendering","","ver1.1","1.1"
"Google Calendar Availability 1.4","a0r7Q000005MValQAG","","","a0q7Q000001KugcQAC","","- Features:
- Bugfixes:","","Dover","1.4"
"Product Form 1.10","a0r7Q000005MVamQAG","","","a0q7Q000001KufaQAC","","- Features:
 	 Improved confirm modal so its salesforce like
 	 The allLoaded variable of the GBL_Opportunity_Products_cmp component has become global.
The GBL_ShowModal_evt event has also become global
 	 Inclusion of sections and components as ""Complex Section Item's"".
    Visibility control of number, percent, currency, multiselect and checkbox fields in complex sections.
    Visibility control of multiselect fields in simple sections
 	 Added regex validation pattern to Product Config items.
Added regex validation pattern to Complex Sections items.
Added Validation Pattern fields to permission set
- Bugfixes:
 	 Fixed problem of mixed data when clicking on different products rapidly.
Fixed lack of minimun, maximum and default values control for rows on complex item tables
 	 Increased height of product editing mode
 	 Duplicate fields in Mozilla. MAXMIX3-4513
    (Detected in Table Row records) In LIST type fields, if it is set as not editable, when generating the record, the label is shown correctly in the form but the value of the label is saved in the table row record and not the API value of the field. This causes that, when saving the data, all the records are shown blank.
    The fprd__Table_order_by__c field of Complex Section Item only works with text type field. If it is not text an error occurs when trying to apply a toLowerCase method to a data type other than String.
    Error when the component tries to update the fields fprd_GBL_Visible_configurationsc,fprdGBL_Empty_visible_fieldsc and fprdGBL_All_fields_informed_c on the products of the opportunity and you do not have edit permissions on them. MAXMIX3-4520
 	 Lookup type fields not opening.","","Raptor","1.1"
"Product Form 1.26","a0r7Q000005MVanQAG","","","a0q7Q000001KufaQAC","","- Features:
 	 Improved confirm modal so its salesforce like
 	 The allLoaded variable of the GBL_Opportunity_Products_cmp component has become global.
The GBL_ShowModal_evt event has also become global
 	 Inclusion of sections and components as ""Complex Section Item's"".
    Visibility control of number, percent, currency, multiselect and checkbox fields in complex sections.
    Visibility control of multiselect fields in simple sections
 	 Added regex validation pattern to Product Config items.
Added regex validation pattern to Complex Sections items.
Added Validation Pattern fields to permission set
- Bugfixes:
 	 Fixed problem of mixed data when clicking on different products rapidly.
Fixed lack of minimun, maximum and default values control for rows on complex item tables
 	 Increased height of product editing mode
 	 Duplicate fields in Mozilla. MAXMIX3-4513
    (Detected in Table Row records) In LIST type fields, if it is set as not editable, when generating the record, the label is shown correctly in the form but the value of the label is saved in the table row record and not the API value of the field. This causes that, when saving the data, all the records are shown blank.
    The fprd__Table_order_by__c field of Complex Section Item only works with text type field. If it is not text an error occurs when trying to apply a toLowerCase method to a data type other than String.
    Error when the component tries to update the fields fprd_GBL_Visible_configurationsc,fprdGBL_Empty_visible_fieldsc and fprdGBL_All_fields_informed_c on the products of the opportunity and you do not have edit permissions on them. MAXMIX3-4520
 	 Lookup type fields not opening.","","Estegosaurus","1.26"
"Check In/Out 1.3","a0r7Q000005MVRUQA4","","","a0q7Q000001KuhfQAC","","","","Aeris","1.3"
"Visit Kit 5.75","a0r7Q000005MVRVQA4","","Workflows has been migrated to Flows, because Workflows will be deprecated in future Salesforce releases","a0q7Q000001Kug3QAC","","- Features:
 	 Added new field to 'Launch meeting validations' custom setting to control if 'add google meet room' checkbox displays only when visit channel is online
        Changes required by the upgrade of Google Calendar Engine and Seeker components
- Bugfixes:
 	 Corrected hard coded text on Launch meeting success/error title toasts
 	 Fixed package installation error when certain features are included (Financial/health cloud apparently) and page layout used deprecated tags 'relatedContent' with 'whatId' field
 	 Fixed error about the buttons of button strip in firefox
 	 Fixed error when creating Attendees records
        Security injection in some querys","","Gloucester","5.75"
"Google Calendar Availability 1.0","a0r7Q000005MVYaQAO","","","a0q7Q000001KugcQAC","","- Features:
- Bugfixes:","","Ohio","1.0"
"Account Plan 1.47","a0r7Q000005MVRWQA4","","","a0q7Q000001KugwQAC","","- Features:
 	 Improved UX question deletion process.
    New cloning process for Account Plans, Waves and Account Plan Types.
 	 It has been included that when blocking and unblocking Account Plans the notifications are filtered by Account Plan Type.
    The following process builders have been migrated to flows: Creation of Needs, Creation of Growth Drivers, Creation of Team Members.
 	 The functionality that made the closing of Account Plans after 6 months has been improved, to make it modifiable according to a custom setting.
    We have updated the AP_BusinessPlanAccessHandler component and the creation of Growth Drivers and Needs has been modified in order to configure the necessary fields through a fieldset to make it compatible with busines plan package version 3.0 and higher.
 	 The way in which the form questions were stored has been improved, reducing the number of records needed. This means a decrease in the loading time of the form.
    The way Periods update Account Plans has been improved. When changing the date, if the date is current and locked, it is automatically unlocked.
    It has been made possible to choose the type of saving of the total/partial form at org level.
 	 It has become possible to update the startDate and dueDate of an account plan by updating the related period.
    The period tab has been created.
    AP admin permission set has been updated.
    The AP trigger has been updated to automatically populate the StartDate and DueDate when inserting an AP using the Associated Period.
 	 Add Permission Set for “Account Planning Banker”.
    Add Permission Set for “Account Planning Validator”.
 	 Add Permission Set for “Account Planning Admin”
    Partial Saved. When a Question Catalog or Account Plan has mandatory questions, is nor possible to save the form if some of this mandatory questions has nor completed (Peru petition).
    New field with the number of questions answered. For give capabilities of “% Completed” about a Question Catalog or a Account Plan, a new field named “Number of answered questions” is included. This field is an auto calculated field that have the number of fields filled in the current Account Plan/Question Catalog (Peru petition).
- Bugfixes:
 	 Fix problem with deleting and editing questions.
 	 Fixed a problem in the GuidancesForSuccess Trigger Handler.
    Some Flows that had reached their version limit have been renewed.
 	 The sending of notifications through Chatter, which previously only worked for CIB's ORG, has been fixed.
    Account Plan record sharing has been fixed once the associated case validator is reassigned.
    Notification to the validator of an Account Plan when it is sent to validate has been fixed.
 	 Modification of the Banker and Validator Permission Sets to restrict their access to different unnecessary fields.
    Modified Account Plan trigger handler for the correct creation of Guidance For Success.
 	 Fixed a bug in Account_Plan_Banker permission set, which allows you to view all Account Plan records.
 	 Fixed a bug that prevented the insertion of unlocked Account Plans.
 	 Fixed a Flow that overwrote when updating Periods instead of updating them.
 	 Visibility dependent question in a flow (Colombia petition).
 	 Notification Schedule Null Pointer Exception (Colombia petition)
    Update Account_Plan_Admin permissions (Colombia petition)
    Fix Guidance for Success link from Home (Colombia petition)
    Fix send Notifications to Mandatory AP (Colombia petition)
    Fix send ID to notification Center Flow (Colombia petition)
 	 The objective of this evolution is to solve some errors related to the partial saving of the account plan forms.
    Change the configuration of the Account Plan administration app homepage to solve an incidence of Peru in its deployment to production.
 	 Increase limit of text area from 255 characters to 32000 characters (Peru petition).
    Solve Case Defects. Checks if when a Case related to Account Plan is approved, the owners of the Case have “Chatter” active. If it is active, then sends a chatter message to them. (Global Desktop petition)","","Getafe","1.47"
"Custom Team 1.32","a0r7Q000005MVVHQA4","","","a0q7Q000001KugSQAS","","","","Volvo S40","1.32"
